시간,지지율
2025-05-15 01:00:00,49.2
2025-05-15 01:00:00,49.5
2025-05-15 02:00:00,49.2
2025-05-15 02:00:00,49.6
2025-05-15 03:00:00,49.3
2025-05-15 03:00:00,49.6
2025-05-15 04:00:00,49.3
2025-05-15 04:00:00,49.6
2025-05-15 05:00:00,49.6
2025-05-15 05:00:00,49.3
2025-05-15 06:00:00,49.4
2025-05-15 06:00:00,49.6
2025-05-15 07:00:00,49.7
2025-05-15 07:00:00,49.4
2025-05-15 08:00:00,49.4
2025-05-15 08:00:00,49.7
2025-05-15 09:00:00,49.4
2025-05-15 09:00:00,49.7
2025-05-15 10:00:00,49.8
2025-05-15 10:00:00,49.4
2025-05-15 11:00:00,49.8
2025-05-15 11:00:00,49.5
2025-05-15 12:00:00,49.2
2025-05-15 12:00:00,49.5
2025-05-16 01:00:00,49.8
2025-05-16 01:00:00,50.1
2025-05-16 02:00:00,50.2
2025-05-16 02:00:00,49.8
2025-05-16 03:00:00,50.2
2025-05-16 03:00:00,49.9
2025-05-16 04:00:00,49.9
2025-05-16 04:00:00,50.2
2025-05-16 05:00:00,50.2
2025-05-16 05:00:00,49.9
2025-05-16 06:00:00,49.9
2025-05-16 06:00:00,50.2
2025-05-16 07:00:00,50.3
2025-05-16 07:00:00,50.0
2025-05-16 08:00:00,50.3
2025-05-16 08:00:00,50.0
2025-05-16 09:00:00,50.0
2025-05-16 09:00:00,50.3
2025-05-16 10:00:00,50.0
2025-05-16 10:00:00,50.4
2025-05-16 11:00:00,50.4
2025-05-16 11:00:00,50.1
2025-05-16 12:00:00,49.8
2025-05-16 12:00:00,50.1
2025-05-17 01:00:00,50.7
2025-05-17 01:00:00,50.4
2025-05-17 02:00:00,50.8
2025-05-17 02:00:00,50.4
2025-05-17 03:00:00,50.5
2025-05-17 03:00:00,50.8
2025-05-17 04:00:00,50.5
2025-05-17 04:00:00,50.8
2025-05-17 05:00:00,50.8
2025-05-17 05:00:00,50.5
2025-05-17 06:00:00,50.8
2025-05-17 06:00:00,50.6
2025-05-17 07:00:00,50.6
2025-05-17 07:00:00,50.9
2025-05-17 08:00:00,50.6
2025-05-17 08:00:00,50.9
2025-05-17 09:00:00,50.6
2025-05-17 09:00:00,50.9
2025-05-17 10:00:00,50.6
2025-05-17 10:00:00,51.0
2025-05-17 11:00:00,50.7
2025-05-17 11:00:00,51.0
2025-05-17 12:00:00,50.4
2025-05-17 12:00:00,50.7
2025-05-18 01:00:00,51.2
2025-05-18 01:00:00,51.0
2025-05-18 02:00:00,51.2
2025-05-18 02:00:00,51.0
2025-05-18 03:00:00,51.2
2025-05-18 03:00:00,51.0
2025-05-18 04:00:00,51.0
2025-05-18 04:00:00,51.2
2025-05-18 05:00:00,51.1
2025-05-18 05:00:00,51.2
2025-05-18 06:00:00,51.1
2025-05-18 06:00:00,51.2
2025-05-18 07:00:00,51.1
2025-05-18 07:00:00,51.2
2025-05-18 08:00:00,51.1
2025-05-18 08:00:00,51.2
2025-05-18 09:00:00,51.1
2025-05-18 09:00:00,51.3
2025-05-18 10:00:00,51.1
2025-05-18 10:00:00,51.3
2025-05-18 11:00:00,51.3
2025-05-18 11:00:00,51.1
2025-05-18 12:00:00,51.2
2025-05-18 12:00:00,51.0
2025-05-19 01:00:00,51.3
2025-05-19 01:00:00,51.5
2025-05-19 02:00:00,51.3
2025-05-19 02:00:00,51.5
2025-05-19 03:00:00,51.3
2025-05-19 03:00:00,51.5
2025-05-19 04:00:00,51.5
2025-05-19 04:00:00,51.4
2025-05-19 05:00:00,51.5
2025-05-19 05:00:00,51.4
2025-05-19 06:00:00,51.4
2025-05-19 06:00:00,51.5
2025-05-19 07:00:00,51.5
2025-05-19 07:00:00,51.4
2025-05-19 08:00:00,51.4
2025-05-19 08:00:00,51.6
2025-05-19 09:00:00,51.6
2025-05-19 09:00:00,51.4
2025-05-19 10:00:00,51.6
2025-05-19 10:00:00,51.4
2025-05-19 11:00:00,51.4
2025-05-19 11:00:00,51.6
2025-05-19 12:00:00,51.4
2025-05-19 12:00:00,51.3
2025-05-20 01:00:00,51.6
2025-05-20 01:00:00,51.8
2025-05-20 02:00:00,51.6
2025-05-20 02:00:00,51.8
2025-05-20 03:00:00,51.8
2025-05-20 03:00:00,51.6
2025-05-20 04:00:00,51.8
2025-05-20 04:00:00,51.6
2025-05-20 05:00:00,51.7
2025-05-20 05:00:00,51.8
2025-05-20 06:00:00,51.7
2025-05-20 06:00:00,51.8
2025-05-20 07:00:00,51.7
2025-05-20 07:00:00,51.8
2025-05-20 08:00:00,51.8
2025-05-20 08:00:00,51.7
2025-05-20 09:00:00,51.9
2025-05-20 09:00:00,51.7
2025-05-20 10:00:00,51.7
2025-05-20 10:00:00,51.9
2025-05-20 11:00:00,51.9
2025-05-20 11:00:00,51.7
2025-05-20 12:00:00,51.6
2025-05-20 12:00:00,51.8
2025-05-21 01:00:00,51.4
2025-05-21 01:00:00,51.9
2025-05-21 02:00:00,51.3
2025-05-21 02:00:00,51.8
2025-05-21 03:00:00,51.8
2025-05-21 03:00:00,51.3
2025-05-21 04:00:00,51.2
2025-05-21 04:00:00,51.7
2025-05-21 05:00:00,51.7
2025-05-21 05:00:00,51.2
2025-05-21 06:00:00,51.2
2025-05-21 06:00:00,51.6
2025-05-21 07:00:00,51.6
2025-05-21 07:00:00,51.1
2025-05-21 08:00:00,51.6
2025-05-21 08:00:00,51.1
2025-05-21 09:00:00,51.5
2025-05-21 09:00:00,51.0
2025-05-21 10:00:00,51.0
2025-05-21 10:00:00,51.5
2025-05-21 11:00:00,50.9
2025-05-21 11:00:00,51.4
2025-05-21 12:00:00,51.9
2025-05-21 12:00:00,51.4
2025-05-22 01:00:00,50.9
2025-05-22 01:00:00,50.4
2025-05-22 02:00:00,50.8
2025-05-22 02:00:00,50.3
2025-05-22 03:00:00,50.3
2025-05-22 03:00:00,50.8
2025-05-22 04:00:00,50.7
2025-05-22 04:00:00,50.2
2025-05-22 05:00:00,50.2
2025-05-22 05:00:00,50.7
2025-05-22 06:00:00,50.2
2025-05-22 06:00:00,50.6
2025-05-22 07:00:00,50.1
2025-05-22 07:00:00,50.6
2025-05-22 08:00:00,50.1
2025-05-22 08:00:00,50.6
2025-05-22 09:00:00,50.5
2025-05-22 09:00:00,50.0
2025-05-22 10:00:00,50.5
2025-05-22 10:00:00,50.0
2025-05-22 11:00:00,50.4
2025-05-22 11:00:00,49.9
2025-05-22 12:00:00,50.9
2025-05-22 12:00:00,50.4
2025-05-23 01:00:00,49.9
2025-05-23 01:00:00,49.4
2025-05-23 02:00:00,49.8
2025-05-23 02:00:00,49.3
2025-05-23 03:00:00,49.8
2025-05-23 03:00:00,49.3
2025-05-23 04:00:00,49.7
2025-05-23 04:00:00,49.2
2025-05-23 05:00:00,49.7
2025-05-23 05:00:00,49.2
2025-05-23 06:00:00,49.2
2025-05-23 06:00:00,49.6
2025-05-23 07:00:00,49.6
2025-05-23 07:00:00,49.1
2025-05-23 08:00:00,49.6
2025-05-23 08:00:00,49.1
2025-05-23 09:00:00,49.0
2025-05-23 09:00:00,49.5
2025-05-23 10:00:00,49.0
2025-05-23 10:00:00,49.5
2025-05-23 11:00:00,48.9
2025-05-23 11:00:00,49.4
2025-05-23 12:00:00,49.9
2025-05-23 12:00:00,49.4
2025-05-24 01:00:00,48.9
2025-05-24 01:00:00,48.8
2025-05-24 02:00:00,48.9
2025-05-24 02:00:00,48.8
2025-05-24 03:00:00,48.9
2025-05-24 03:00:00,48.8
2025-05-24 04:00:00,48.9
2025-05-24 04:00:00,48.8
2025-05-24 05:00:00,48.9
2025-05-24 05:00:00,48.8
2025-05-24 06:00:00,48.8
2025-05-24 06:00:00,48.9
2025-05-24 07:00:00,48.8
2025-05-24 07:00:00,48.9
2025-05-24 08:00:00,48.9
2025-05-24 08:00:00,48.8
2025-05-24 09:00:00,48.8
2025-05-24 09:00:00,48.9
2025-05-24 10:00:00,48.9
2025-05-24 10:00:00,48.8
2025-05-24 11:00:00,48.9
2025-05-24 11:00:00,48.8
2025-05-24 12:00:00,48.9
2025-05-24 12:00:00,48.8
2025-05-25 01:00:00,48.8
2025-05-25 01:00:00,48.7
2025-05-25 02:00:00,48.8
2025-05-25 02:00:00,48.7
2025-05-25 03:00:00,48.7
2025-05-25 03:00:00,48.8
2025-05-25 04:00:00,48.8
2025-05-25 04:00:00,48.7
2025-05-25 05:00:00,48.7
2025-05-25 05:00:00,48.8
2025-05-25 06:00:00,48.7
2025-05-25 06:00:00,48.8
2025-05-25 07:00:00,48.8
2025-05-25 07:00:00,48.7
2025-05-25 08:00:00,48.8
2025-05-25 08:00:00,48.7
2025-05-25 09:00:00,48.7
2025-05-25 09:00:00,48.8
2025-05-25 10:00:00,48.7
2025-05-25 10:00:00,48.8
2025-05-25 11:00:00,48.7
2025-05-25 11:00:00,48.8
2025-05-25 12:00:00,48.8
2025-05-25 12:00:00,48.8
2025-05-26 01:00:00,48.7
2025-05-26 01:00:00,48.6
2025-05-26 02:00:00,48.6
2025-05-26 02:00:00,48.7
2025-05-26 03:00:00,48.7
2025-05-26 03:00:00,48.6
2025-05-26 04:00:00,48.6
2025-05-26 04:00:00,48.7
2025-05-26 05:00:00,48.7
2025-05-26 05:00:00,48.6
2025-05-26 06:00:00,48.7
2025-05-26 06:00:00,48.6
2025-05-26 07:00:00,48.6
2025-05-26 07:00:00,48.7
2025-05-26 08:00:00,48.7
2025-05-26 08:00:00,48.6
2025-05-26 09:00:00,48.6
2025-05-26 09:00:00,48.7
2025-05-26 10:00:00,48.7
2025-05-26 10:00:00,48.6
2025-05-26 11:00:00,48.7
2025-05-26 11:00:00,48.6
2025-05-26 12:00:00,48.7
2025-05-26 12:00:00,48.7
2025-05-27 01:00:00,48.6
2025-05-27 01:00:00,48.6
2025-05-27 02:00:00,48.6
2025-05-27 02:00:00,48.6
2025-05-27 03:00:00,48.6
2025-05-27 03:00:00,48.6
2025-05-27 04:00:00,48.6
2025-05-27 04:00:00,48.6
2025-05-27 05:00:00,48.6
2025-05-27 05:00:00,48.6
2025-05-27 06:00:00,48.6
2025-05-27 06:00:00,48.6
2025-05-27 07:00:00,48.6
2025-05-27 07:00:00,48.6
2025-05-27 08:00:00,48.6
2025-05-27 08:00:00,48.6
2025-05-27 09:00:00,48.6
2025-05-27 09:00:00,48.6
2025-05-27 10:00:00,48.6
2025-05-27 10:00:00,48.6
2025-05-27 11:00:00,48.6
2025-05-27 11:00:00,48.6
2025-05-27 12:00:00,48.6
2025-05-27 12:00:00,48.6
2025-05-27 13:00:00,48.61
2025-05-27 14:00:00,48.61
2025-05-27 15:00:00,48.62
2025-05-27 16:00:00,48.63
2025-05-27 17:00:00,48.63
2025-05-27 18:00:00,48.64
2025-05-27 19:00:00,48.64
2025-05-27 20:00:00,48.65
2025-05-27 21:00:00,48.66
2025-05-27 22:00:00,48.66
2025-05-27 23:00:00,48.67
2025-05-28 00:00:00,48.68
2025-05-28 01:00:00,48.68
2025-05-28 02:00:00,48.69
2025-05-28 03:00:00,48.69
2025-05-28 04:00:00,48.7
2025-05-28 05:00:00,48.71
2025-05-28 06:00:00,48.71
2025-05-28 07:00:00,48.72
2025-05-28 08:00:00,48.73
2025-05-28 09:00:00,48.73
2025-05-28 10:00:00,48.74
2025-05-28 11:00:00,48.74
2025-05-28 12:00:00,48.75
2025-05-28 13:00:00,48.76
2025-05-28 14:00:00,48.76
2025-05-28 15:00:00,48.77
2025-05-28 16:00:00,48.78
2025-05-28 17:00:00,48.78
2025-05-28 18:00:00,48.79
2025-05-28 19:00:00,48.79
2025-05-28 20:00:00,48.8
2025-05-28 21:00:00,48.81
2025-05-28 22:00:00,48.81
2025-05-28 23:00:00,48.82
2025-05-29 00:00:00,48.83
2025-05-29 01:00:00,48.83
2025-05-29 02:00:00,48.84
2025-05-29 03:00:00,48.84
2025-05-29 04:00:00,48.85
2025-05-29 05:00:00,48.86
2025-05-29 06:00:00,48.86
2025-05-29 07:00:00,48.87
2025-05-29 08:00:00,48.88
2025-05-29 09:00:00,48.88
2025-05-29 10:00:00,48.89
2025-05-29 11:00:00,48.89
2025-05-29 12:00:00,48.9
2025-05-29 13:00:00,48.91
2025-05-29 14:00:00,48.91
2025-05-29 15:00:00,48.92
2025-05-29 16:00:00,48.93
2025-05-29 17:00:00,48.93
2025-05-29 18:00:00,48.94
2025-05-29 19:00:00,48.94
2025-05-29 20:00:00,48.95
2025-05-29 21:00:00,48.96
2025-05-29 22:00:00,48.96
2025-05-29 23:00:00,48.97
2025-05-30 00:00:00,48.98
2025-05-30 01:00:00,48.98
2025-05-30 02:00:00,48.99
2025-05-30 03:00:00,48.99
2025-05-30 04:00:00,49.0
2025-05-30 05:00:00,49.01
2025-05-30 06:00:00,49.01
2025-05-30 07:00:00,49.02
2025-05-30 08:00:00,49.03
2025-05-30 09:00:00,49.03
2025-05-30 10:00:00,49.04
2025-05-30 11:00:00,49.04
2025-05-30 12:00:00,49.05
2025-05-30 13:00:00,49.06
2025-05-30 14:00:00,49.06
2025-05-30 15:00:00,49.07
2025-05-30 16:00:00,49.08
2025-05-30 17:00:00,49.08
2025-05-30 18:00:00,49.09
2025-05-30 19:00:00,49.09
2025-05-30 20:00:00,49.1
2025-05-30 21:00:00,49.11
2025-05-30 22:00:00,49.11
2025-05-30 23:00:00,49.12
2025-05-31 00:00:00,49.13
2025-05-31 01:00:00,49.13
2025-05-31 02:00:00,49.14
2025-05-31 03:00:00,49.14
2025-05-31 04:00:00,49.15
2025-05-31 05:00:00,49.16
2025-05-31 06:00:00,49.16
2025-05-31 07:00:00,49.17
2025-05-31 08:00:00,49.18
2025-05-31 09:00:00,49.18
2025-05-31 10:00:00,49.19
2025-05-31 11:00:00,49.19
2025-05-31 12:00:00,49.2
2025-05-31 13:00:00,49.21
2025-05-31 14:00:00,49.21
2025-05-31 15:00:00,49.22
2025-05-31 16:00:00,49.23
2025-05-31 17:00:00,49.23
2025-05-31 18:00:00,49.24
2025-05-31 19:00:00,49.24
2025-05-31 20:00:00,49.25
2025-05-31 21:00:00,49.26
2025-05-31 22:00:00,49.26
2025-05-31 23:00:00,49.27
2025-06-01 00:00:00,49.28
2025-06-01 01:00:00,49.28
2025-06-01 02:00:00,49.29
2025-06-01 03:00:00,49.29
2025-06-01 04:00:00,49.3
2025-06-01 05:00:00,49.31
2025-06-01 06:00:00,49.31
2025-06-01 07:00:00,49.32
2025-06-01 08:00:00,49.33
2025-06-01 09:00:00,49.33
2025-06-01 10:00:00,49.34
2025-06-01 11:00:00,49.34
2025-06-01 12:00:00,49.35
2025-06-01 13:00:00,49.36
2025-06-01 14:00:00,49.36
2025-06-01 15:00:00,49.37
2025-06-01 16:00:00,49.38
2025-06-01 17:00:00,49.38
2025-06-01 18:00:00,49.39
2025-06-01 19:00:00,49.39
2025-06-01 20:00:00,49.4
2025-06-01 21:00:00,49.41
2025-06-01 22:00:00,49.41
2025-06-01 23:00:00,49.42
